price,market_hash_name,volume
9.96,'Blueberries' Buckshot | NSWC SEAL,15
23.676,'Medium Rare' Crasswater | Guerrilla Warfare,13
12.029,'The Doctor' Romanov | Sabre,107
6.031,'Two Times' McCoy | TACP Cavalry,22
5.192,'Two Times' McCoy | USAF TACP,43
0.888,10 Year Birthday Sticker Capsule,107
6.948,1st Lieutenant Farlow | SWAT,43
0.16,2020 RMR Challengers,634
0.2,2020 RMR Contenders,2174
0.13,2020 RMR Legends,710
1.02,2021 Community Sticker Capsule,63
9.032,3rd Commando Company | KSK,237
6.855,Aces High Pin,15
18.208,AK-47 | Aquamarine Revenge (Battle-Scarred),127
122.812,AK-47 | Aquamarine Revenge (Factory New),14
38.31,AK-47 | Aquamarine Revenge (Field-Tested),47
74.966,AK-47 | Aquamarine Revenge (Minimal Wear),30
22.126,AK-47 | Aquamarine Revenge (Well-Worn),44
22.368,AK-47 | Asiimov (Battle-Scarred),347
187.44,AK-47 | Asiimov (Factory New),16
31.26,AK-47 | Asiimov (Field-Tested),102
61.324,AK-47 | Asiimov (Minimal Wear),57
31.329,AK-47 | Asiimov (Well-Worn),78
114.679,AK-47 | B the Monster (Battle-Scarred),5
1094.752,AK-47 | B the Monster (Factory New),3
182.461,AK-47 | B the Monster (Field-Tested),5
397.846,AK-47 | B the Monster (Minimal Wear),3
174.641,AK-47 | B the Monster (Well-Worn),1
6.518,AK-47 | Baroque Purple (Battle-Scarred),31
16.541,AK-47 | Baroque Purple (Factory New),21
6.626,AK-47 | Baroque Purple (Field-Tested),87
6.831,AK-47 | Baroque Purple (Minimal Wear),90
6.635,AK-47 | Baroque Purple (Well-Worn),15
28.843,AK-47 | Black Laminate (Battle-Scarred),18
237.282,AK-47 | Black Laminate (Factory New),1
26.924,AK-47 | Black Laminate (Field-Tested),32
33.1,AK-47 | Black Laminate (Minimal Wear),24
29.944,AK-47 | Black Laminate (Well-Worn),13
143.74,AK-47 | Bloodsport (Factory New),35
119.286,AK-47 | Bloodsport (Field-Tested),48
124.999,AK-47 | Bloodsport (Minimal Wear),54
120.937,AK-47 | Bloodsport (Well-Worn),17
14.035,AK-47 | Blue Laminate (Factory New),41
10.597,AK-47 | Blue Laminate (Field-Tested),140
10.605,AK-47 | Blue Laminate (Minimal Wear),92
13.87,AK-47 | Blue Laminate (Well-Worn),25
10.569,AK-47 | Cartel (Battle-Scarred),40
27.946,AK-47 | Cartel (Factory New),22
10.354,AK-47 | Cartel (Field-Tested),110
15.17,AK-47 | Cartel (Minimal Wear),16
14.835,AK-47 | Cartel (Well-Worn),34
185.578,AK-47 | Case Hardened (Battle-Scarred),32
349.999,AK-47 | Case Hardened (Factory New),17
232.989,AK-47 | Case Hardened (Field-Tested),40
267.4,AK-47 | Case Hardened (Minimal Wear),20
195.999,AK-47 | Case Hardened (Well-Worn),20
3.608,AK-47 | Crossfade (Battle-Scarred),2
6.778,AK-47 | Crossfade (Factory New),2
3.128,AK-47 | Crossfade (Field-Tested),6
5.745,AK-47 | Crossfade (Minimal Wear),4
6.465,AK-47 | Crossfade (Well-Worn),1
1.068,AK-47 | Elite Build (Battle-Scarred),200
5.638,AK-47 | Elite Build (Factory New),39
1.29,AK-47 | Elite Build (Field-Tested),207
2.05,AK-47 | Elite Build (Minimal Wear),413
1.084,AK-47 | Elite Build (Well-Worn),424
2.732,AK-47 | Emerald Pinstripe (Battle-Scarred),264
