id,market_hash_name,avg_price
703631,Sticker | Vox Eminor (Holo) | Katowice 2014,1000.0
1028427,Sticker | mousesports (Holo) | Katowice 2014,1000.0
1028426,Sticker | Reason Gaming (Holo) | Katowice 2014,1000.0
2015210,Sticker | Clan-Mystik (Holo) | Katowice 2014,1000.0
2023167,Sticker | iBUYPOWER (Holo) | Katowice 2014,69000.0
177806447,Sticker | Vox Eminor (Foil) | Katowice 2014,1000.0
369947104,Sticker | Reason Gaming (Foil) | Katowice 2014,80000.0
935582706,Sticker | iBUYPOWER (Foil) | Katowice 2014,3000.0
5545,Sticker | ScreaM | Cluj-Napoca 2015,23.16
6638,Sticker | TaZ | Cluj-Napoca 2015,4.18
7223,Sticker | DreamHack | Cluj-Napoca 2015,7.56
7468,Sticker | dupreeh | Cluj-Napoca 2015,10.29
8743,Sticker | n0thing (Foil) | MLG Columbus 2016,28.22
8744,Sticker | n0thing (Foil) | Cologne 2015,20.07
13778,Sticker | EliGE (Foil) | MLG Columbus 2016,22.01
17750,Sticker | Ninjas in Pyjamas (Gold) | Cologne 2015,0.0
17751,Sticker | Renegades (Gold) | Cologne 2015,0.0
17752,Sticker | ESL (Gold) | Cologne 2015,0.0
17753,Sticker | allu (Gold) | Cologne 2015,0.0
18060,Sticker | kioShiMa | Cologne 2015,3.29
20415,Sticker | shox | Cluj-Napoca 2015,12.73
20452,Sticker | Hiko (Gold) | Cluj-Napoca 2015,0.0
20453,Sticker | DreamHack (Gold) | Cluj-Napoca 2015,0.0
20454,Sticker | Team Liquid (Gold) | Cluj-Napoca 2015,0.0
20455,Sticker | Virtus.Pro (Gold) | Cluj-Napoca 2015,0.0
22666,Sticker | NEO (Foil) | Cluj-Napoca 2015,16.61
22667,Sticker | FalleN (Foil) | Cluj-Napoca 2015,28.72
23953,Sticker | denis | Cologne 2015,4.83
23955,Sticker | Spiidi | Cologne 2015,5.07
24893,Sticker | JW (Foil) | Cluj-Napoca 2015,21.68
26761,Sticker | freakazoid | Cluj-Napoca 2015,5.72
28088,Sticker | JW | Cluj-Napoca 2015,5.4
30831,Sticker | Luminosity Gaming (Gold) | MLG Columbus 2016,0.0
30832,Sticker | NEO (Gold) | MLG Columbus 2016,0.0
30833,Sticker | Virtus.Pro (Gold) | MLG Columbus 2016,0.0
30834,Sticker | MLG (Gold) | MLG Columbus 2016,0.0
34153,Sticker | Don't Worry(Holo),0.0
35029,Sticker | pashaBiceps | Cluj-Napoca 2015,7.07
35112,Sticker | seang@res | Cologne 2015,5.76
37646,Sticker | n0thing | Cluj-Napoca 2015,5.96
43202,Sticker | Team EnVyUs (Gold) | Cluj-Napoca 2015,0.0
43203,Sticker | G2 Esports (Gold) | Cluj-Napoca 2015,0.0
1797277,Sticker | Snax (Gold) | MLG Columbus 2016,0.0
43204,Sticker | apEX (Gold) | Cluj-Napoca 2015,0.0
46598,Sticker | steel | Cologne 2015,6.62
48165,Sticker | Flipsid3 Tactics (Gold) | Cluj-Napoca 2015,0.0
48166,Sticker | dupreeh (Gold) | Cluj-Napoca 2015,0.0
48168,Sticker | Team SoloMid (Gold) | Cluj-Napoca 2015,0.0
50872,Sticker | GeT_RiGhT | Cologne 2015,8.28
50873,Sticker | olofmeister | Cologne 2015,3.54
50967,Sticker | Virtus.Pro (Gold) | Cologne 2015,0.0
50968,Sticker | byali (Gold) | Cologne 2015,0.0
50970,Sticker | Fnatic (Gold) | Cologne 2015,0.0
595558,Sticker | Zeus (Gold) | MLG Columbus 2016,0.0
606985,Sticker | Ninjas in Pyjamas (Foil) | Cologne 2015,13.26
611271,Sticker | flusha (Gold) | Cologne 2015,0.0
630757,Sticker | jks (Foil) | Cologne 2015,29.99
634958,Sticker | dupreeh (Foil) | Cluj-Napoca 2015,16.75
640886,Sticker | Counter Logic Gaming (Holo) | Katowice 2015,237.18
645102,Sticker | markeloff (Foil) | Cologne 2015,16.44
753351,Sticker | boltz (Foil) | Cluj-Napoca 2015,36.27
755448,Sticker | hazed (Gold) | Cluj-Napoca 2015,0.0
758580,Sticker | Team Immunity (Foil) | Cologne 2015,16.85
758875,Sticker | device | Cluj-Napoca 2015,6.0
759487,Sticker | Snax (Foil) | Cluj-Napoca 2015,29.58
760446,Sticker | G2 Esports (Gold) | MLG Columbus 2016,0.0
760447,Sticker | Cloud9 (Gold) | MLG Columbus 2016,0.0
760449,Sticker | shox (Gold) | MLG Columbus 2016,0.0
54356,Sticker | I'm Pro,0.0
761174,Sticker | Havoc (Foil) | Cologne 2015,12.88
